priority,status,category,ichome_title,jan,price,url,matched_product_name,matched_by
S,new_candidate,スマートフォン,iPhone 17e 256GB ホワイト,4549995677539,81000,https://www.1-chome.com/mobileDetail/1444/1444,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 2TB グレイシャー,4549995735291,400000,https://www.1-chome.com/mobileDetail/1651/1651,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 2TB シルバー,4549995735192,400000,https://www.1-chome.com/mobileDetail/1651/1651,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 2TB バーガンディ,4549995735246,400000,https://www.1-chome.com/mobileDetail/1651/1651,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 2TB ブラック,4549995735147,400000,https://www.1-chome.com/mobileDetail/1651/1651,,
A,new_candidate,スマートフォン,iPhone 18 Pro 2TB グレイシャー,4549995734294,390000,https://www.1-chome.com/mobileDetail/1655/1655,,
A,new_candidate,スマートフォン,iPhone 18 Pro 2TB シルバー,4549995734270,390000,https://www.1-chome.com/mobileDetail/1655/1655,,
A,new_candidate,スマートフォン,iPhone 18 Pro 2TB バーガンディ,4549995734287,390000,https://www.1-chome.com/mobileDetail/1655/1655,,
A,new_candidate,スマートフォン,iPhone 18 Pro 2TB ブラック,4549995734263,390000,https://www.1-chome.com/mobileDetail/1655/1655,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 1TB グレイシャー,4549995735093,320000,https://www.1-chome.com/mobileDetail/1650/1650,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 1TB シルバー,4549995734997,320000,https://www.1-chome.com/mobileDetail/1650/1650,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 1TB バーガンディ,4549995735048,320000,https://www.1-chome.com/mobileDetail/1650/1650,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 1TB ブラック,4549995734942,320000,https://www.1-chome.com/mobileDetail/1650/1650,,
A,new_candidate,スマートフォン,iPhone 18 Pro 1TB グレイシャー,4549995734256,270000,https://www.1-chome.com/mobileDetail/1654/1654,,
A,new_candidate,スマートフォン,iPhone 18 Pro 1TB シルバー,4549995734232,270000,https://www.1-chome.com/mobileDetail/1654/1654,,
A,new_candidate,スマートフォン,iPhone 18 Pro 1TB バーガンディ,4549995734249,270000,https://www.1-chome.com/mobileDetail/1654/1654,,
A,new_candidate,スマートフォン,iPhone 18 Pro 1TB ブラック,4549995734225,270000,https://www.1-chome.com/mobileDetail/1654/1654,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 512GB グレイシャー,4549995734898,254000,https://www.1-chome.com/mobileDetail/1649/1649,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 512GB シルバー,4549995734799,254000,https://www.1-chome.com/mobileDetail/1649/1649,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 512GB バーガンディ,4549995734843,254000,https://www.1-chome.com/mobileDetail/1649/1649,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 512GB ブラック,4549995734744,254000,https://www.1-chome.com/mobileDetail/1649/1649,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 256GB グレイシャ,4549995734690,223000,https://www.1-chome.com/mobileDetail/1648/1648,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 256GB シルバー,4549995734591,223000,https://www.1-chome.com/mobileDetail/1648/1648,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 256GB バーガンディ,4549995734645,223000,https://www.1-chome.com/mobileDetail/1648/1648,,
A,new_candidate,スマートフォン,iPhone 18 Pro Max 256GB ブラック,4549995734546,223000,https://www.1-chome.com/mobileDetail/1648/1648,,
A,new_candidate,スマートフォン,iPhone 18 Pro 512GB グレイシャー,4549995734218,220000,https://www.1-chome.com/mobileDetail/1653/1653,,
A,new_candidate,スマートフォン,iPhone 18 Pro 512GB シルバー,4549995734195,220000,https://www.1-chome.com/mobileDetail/1653/1653,,
A,new_candidate,スマートフォン,iPhone 18 Pro 512GB バーガンディ,4549995734201,220000,https://www.1-chome.com/mobileDetail/1653/1653,,
A,new_candidate,スマートフォン,iPhone 18 Pro 512GB ブラック,4549995734188,220000,https://www.1-chome.com/mobileDetail/1653/1653,,
A,new_candidate,スマートフォン,iPhone 18 Pro 256GB グレイシャー,4549995734171,190000,https://www.1-chome.com/mobileDetail/1652/1652,,
A,new_candidate,スマートフォン,iPhone 18 Pro 256GB シルバー,4549995734157,190000,https://www.1-chome.com/mobileDetail/1652/1652,,
A,new_candidate,スマートフォン,iPhone 18 Pro 256GB バーガンディ,4549995734164,190000,https://www.1-chome.com/mobileDetail/1652/1652,,
A,new_candidate,スマートフォン,iPhone 18 Pro 256GB ブラック,4549995734140,190000,https://www.1-chome.com/mobileDetail/1652/1652,,
A,new_candidate,スマートフォン,iPhone Air 1TB クラウドホワイト,4549995647594,142000,https://www.1-chome.com/mobileDetail/1369/1369,,
A,new_candidate,スマートフォン,iPhone Air 1TB スカイブルー,4549995647617,142000,https://www.1-chome.com/mobileDetail/1369/1369,,
A,new_candidate,スマートフォン,iPhone Air 1TB スペースブラック,4549995647587,142000,https://www.1-chome.com/mobileDetail/1369/1369,,
A,new_candidate,スマートフォン,iPhone Air 1TB ライトゴールド,4549995647600,142000,https://www.1-chome.com/mobileDetail/1369/1369,,
A,new_candidate,スマートフォン,iPhone Air 512GB クラウドホワイト,4549995647556,129000,https://www.1-chome.com/mobileDetail/1368/1368,,
A,new_candidate,スマートフォン,iPhone Air 512GB スカイブルー,4549995647570,129000,https://www.1-chome.com/mobileDetail/1368/1368,,
A,new_candidate,スマートフォン,iPhone Air 512GB スペースブラック,4549995647549,129000,https://www.1-chome.com/mobileDetail/1368/1368,,
A,new_candidate,スマートフォン,iPhone Air 512GB ライトゴールド,4549995647563,129000,https://www.1-chome.com/mobileDetail/1368/1368,,
A,new_candidate,スマートフォン,iPhone Air 256GB クラウドホワイト,4549995647518,115000,https://www.1-chome.com/mobileDetail/1367/1367,,
A,new_candidate,スマートフォン,iPhone Air 256GB スカイブルー,4549995647532,115000,https://www.1-chome.com/mobileDetail/1367/1367,,
